,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
148,"TE MUDASTE","Bad Bunny",5630426,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
149,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",5626791,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
150,"HIGHEST IN THE ROOM","Travis Scott",5617133,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
151,"La Nota","Manuel Turizo",5592377,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
152,"No Te Enamores - Remix",Milly,5567224,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
153,"my ex's best friend (with blackbear)","Machine Gun Kelly",5565328,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
154,"Ramen & OJ","Joyner Lucas",5495318,https://open.spotify.com/track/4TIqzdAssasqx3DAe6cG9J
155,"Laugh Now Cry Later (feat. Lil Durk)",Drake,5462505,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
156,Riptide,"Vance Joy",5462265,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
157,"everything i wanted","Billie Eilish",5448680,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
158,"Rain On Me (with Ariana Grande)","Lady Gaga",5431495,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
159,"Every Breath You Take","The Police",5431241,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
160,"Blueberry Faygo","Lil Mosey",5419008,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
161,"Counting Stars",OneRepublic,5415619,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
162,"Little Bit of Love","Tom Grennan",5411960,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
163,"Lonely (with benny blanco)","Justin Bieber",5405081,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
164,"Another One Bites The Dust - Remastered 2011",Queen,5405062,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
165,"SICKO MODE","Travis Scott",5386998,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
166,Falling,"Harry Styles",5378140,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
167,"Somebody That I Used To Know",Gotye,5348094,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
168,"Jocelyn Flores",XXXTENTACION,5348003,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
169,"What You Need","Don Toliver",5346005,https://open.spotify.com/track/6LcX2hBbXaJcK4AuefE936
170,"Do I Wanna Know?","Arctic Monkeys",5320696,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
171,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",5296227,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
172,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,5290877,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
173,"Bubblegum Bitch",MARINA,5287256,https://open.spotify.com/track/1yOL7ZiXGx5ULeLoktAUAg
174,"The Hills","The Weeknd",5279559,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
175,HOLIDAY,"Lil Nas X",5264232,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
176,"At My Worst","Pink Sweat$",5258000,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
177,Dior,"Pop Smoke",5255741,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
178,Closer,"The Chainsmokers",5252418,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
179,"Life Is Good (feat. Drake)",Future,5241227,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
180,"Mr. Brightside","The Killers",5237929,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
181,"Smells Like Teen Spirit",Nirvana,5212114,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
182,"The Real Slim Shady",Eminem,5207703,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
183,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes",5204362,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
184,Extasy,"187 Strassenbande",5203700,https://open.spotify.com/track/5OqIKA0ETzvxocl2IS7nV6
185,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",5187720,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
186,"Something Just Like This","The Chainsmokers",5183692,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
187,"If the World Was Ending (feat. Julia Michaels)","JP Saxe",5172015,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
188,PROBLEMA,"Daddy Yankee",5153524,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
189,"Wishing Well","Juice WRLD",5125706,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
190,"One Dance",Drake,5114922,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
191,Explícito,"Myke Towers",5113581,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
192,"Fan de Tus Fotos","Nicky Jam",5103863,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
193,"Tapão Na Raba","Raí Saia Rodada",5088848,https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
194,"Godzilla (feat. Juice WRLD)",Eminem,5066006,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
195,"Machu Picchu",Camilo,5062404,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
196,"Come & Go (with Marshmello)","Juice WRLD",5037124,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
197,"Me Fije","Alex Rose",5033411,https://open.spotify.com/track/6Et5KimMg3IXwD6lJPGmQw
198,Robbery,"Juice WRLD",5024884,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
199,Paradigmas,"Jorge & Mateus",5018076,https://open.spotify.com/track/17UfXrL7Run3GyZJW4uRjC
200,SugarCrash!,ElyOtto,5018005,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
