track_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,mode,valence
6Knv6wdA0luoMUuuoYi2i1,0.702,0.128,94.006,0.0499,0.0215,0,0.688,7,192191,-4.792,0,0.74
5tf1VVWniHgryyumXyJM7w,0.815,0.163,123.063,0.0581,0.0185,0,0.636,5,219043,-5.098,0,0.636
6i759FCuKx713ZnYjtpQGU,0.424,0.173,76.676,0.251,0.284,0,0.616,1,206027,-8.237,1,0.582
0L87MffumRNWrY2SNUFcvs,0.659,0.0622,114.033,0.0343,0.0998,0.00028,0.743,10,255160,-6.755,1,0.804
69uxyAqqPIsUyTO8txoP2M,0.924,0.149,111.995,0.036,0.00205,0.000175,0.638,7,263787,-3.887,1,0.53
3bidbhpOYeV4knp8AIu8Xn,0.922,0.0862,146.078,0.0786,0.0291,0,0.641,2,258343,-4.457,1,0.847
5Fim1gaXBgsiFfsQAfQSDS,0.608,0.0761,94.013,0.0385,0.282,0,0.832,6,198707,-6.042,0,0.589
6gBFPUFcJLzWGx4lenP6h2,0.728,0.149,130.049,0.0484,0.0847,0,0.841,7,243837,-3.37,1,0.43
7oK9VyNzrYvRFo7nQEYkWN,0.924,0.0953,148.017,0.0808,0.00101,0,0.356,1,222587,-3.74,1,0.232
2FiSTH0GYpIioUgjfzMIja,0.736,0.171,103.027,0.0385,0.0444,0.000137,0.648,8,239465,-7.948,1,0.378
6eT7xZZlB2mwyzJ2sUKG6w,0.562,0.0816,130.098,0.0352,0.233,0,0.675,7,256533,-7.678,1,0.309
19a3JfW8BQwqHWUMbcqSx8,0.735,0.0975,173.935,0.117,0.0711,0,0.465,6,196040,-3.715,1,0.409
2q6tgiA9tpb6DMguABwCWE,0.264,0.132,119.93,0.0322,0.922,0,0.422,8,269560,-7.064,1,0.331
494OU6M7NOf4ICYb4zWCf5,0.788,0.0863,120.076,0.0334,0.0591,0,0.748,1,235493,-7.055,1,0.884
2jyjhRf6DVbMPU5zxagN2h,0.538,0.104,75.089,0.0572,0.385,0,0.509,7,252867,-7.335,1,0.244
7AtlMCIauSQZqiXSlbBPW6,0.888,0.125,177.908,0.122,0.117,1.55e-05,0.729,10,209427,-2.864,1,0.8
7qiZfU4dY1lWllzX7mPBI3,0.652,0.0931,95.977,0.0802,0.581,0,0.825,1,233713,-3.183,0,0.931
