artist_id,artist_name,genres,popularity,followers
2kCO8LXN1usaOPL3iEE28I,Tai Verdes,['modern indie pop'],70,578994
7wg1qvie3KqDNQbAkTdbX0,Louis The Child,"['edm', 'electro house', 'electropop', 'pop', 'pop dance', 'tropical house']",64,442965
6i3DxIlAqnDkwELLw4aVrx,Lele Pons,"['latin pop', 'viral pop']",61,1076295
2VSHKHBTiXWplO8lxcnUC9,GAYLE,['modern alternative pop'],72,476090
6bwp9ObI8FWvMPCIWVBmhl,Red Velvet - IRENE & SEULGI,['k-pop'],52,638939
5M0lbkGluOPXLeFjApw8r8,Shelley FKA DRAM,"['pop rap', 'virginia hip hop']",61,819055
6VOoiigTiLVgsMQPP1JOdC,Crissin,['reggaeton colombiano'],60,10475
5sK8BsvyDl4TFA6KaBf8or,Charly Black,"['dancehall', 'jamaican dancehall']",60,289731
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",75,8894232
2Waw2sSbqvAwK8NwACNjVo,Bo Burnham,['comic'],74,1516244
27mFvqQj8KpjmdKIqcw1mG,Ayo & Teo,"['social media pop', 'trap']",58,872550
4S9EykWXhStSc15wEx8QFK,Céline Dion,"['canadian pop', 'dance pop']",72,6238294
5ENS85nZShljwNgg4wFD7D,Gabry Ponte,"['edm', 'eurodance', 'italo dance', 'pop dance', 'slap house']",73,366135
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again,"['baton rouge rap', 'trap']",82,9108312
21WS9wngs9AqFckK7yYJPM,PnB Rock,"['melodic rap', 'pop rap', 'rap', 'trap', 'vapor trap']",69,3373099
62YF0FglEltB3CnVIjoko8,Ingratax,['concurso de talentos argentino'],63,271478
7blkMNJv8n9ceP9zlA4W2U,Shawn Hook,['canadian pop'],46,61092
5bzWtCkjIAMgN93gLt56SO,Tropkillaz,"['afrofuturismo brasileiro', 'bass trap', 'electronic trap', 'funk carioca', 'pop nacional']",57,200713
0IsDyC7yhWO36zl3qlFzGH,Don Khuma,[],0,15
0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,"['corrido', 'corridos tumbados', 'nueva musica mexicana', 'sierreno']",77,2333399
5H6xmHXjsq98NLbEjuE29f,NEIKED,"['scandipop', 'tropical house']",68,116364
4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']",72,5422498
36KsCCwgI0Dep97yVJWmkK,Monsieur Periné,"['colombian pop', 'gypsy jazz', 'latin', 'latin alternative', 'latin pop', 'latin rock']",60,511118
50JJSqHUf2RQ9xsHs0KMHg,Jon Bellion,['pop rap'],66,1297193
4qIVPF0s71ZYW3qzhu5GkF,Kina,['sad lo-fi'],67,726934
6LArUyIoMiHmDvvOAsE2cd,Dream,['dream smp'],56,1148937
0AqlFI0tz2DsEoJlKSIiT9,Emilia,['pop argentino'],71,779167
7jZM5w05mGhw6wTB1okhD9,ATB,"['german dance', 'german techno', 'german trance', 'trance']",65,339888
6jeg7JBX9J9097esK752iR,Smiley,"['canadian hip hop', 'toronto rap']",56,28779
6T70tWxqyIpdVbsFvPzqM3,La La Land Cast,[],46,11629
